id,description,units,notes,created_at,updated_at,name,max,min,standard_name,standard_units,label,type
618,base temperature for computing Growing Degree Days (GDD),C,"",2016-10-05 21:38:36.033678,2018-04-13 17:35:35.895294,gdd_tbase,100,-10,"","",GDD Base Temperature,model
65,annual stem volume,m3 ha-1 y-1,"",,2012-01-13 20:22:30,stem_volume_annual,Infinity,-Infinity,,,,
16,Leaf Thickness,um,"",,2011-06-06 14:40:42,leafTh,Infinity,-Infinity,,,,
162,fresh weight of aerial biomass,g [per plant],"",,2021-04-27 19:31:30.404069,fresh_weight,Infinity,-Infinity,,,,
231,total pulpwood,m3 ha-1,"",2010-11-23 11:31:33,2021-04-27 19:32:45.459461,Tpulpwood,Infinity,-Infinity,,,,
244,rate of fine root respiration at reference soil temperature,umol [CO2] kg-1 s-1,"Fine roots assumed to be given as dry weight and <2mm size class.

Root size class (root_diameter) and measurement temperature (rootT) must be added as covariate.

Equivalent to units of nmol CO_2 g-1 s-1. If converted from O2 consumption, assume 1 mol O2 = 1 mol CO2. ",2010-12-08 17:57:52,2021-04-27 19:32:58.459321,root_respiration_rate,600,0,,,,
323,branch repiration required for maintenancing existing tissues,umol [CO2] kg-1 s-1,"Covariates to include: branchT
Equivalent to units of nmol CO_2 g-1 s-1. If converted from O2 consumption, assume 1 mol O2 = 1 mol CO2. ",2012-01-05 19:31:32,2021-04-27 19:36:15.761476,branch_maintenance_respiration,Infinity,0,,,,
338,"root maintenance respiration, mass basis, at given termperature",umol [CO_2] kg-1 s-1,"Necessary covariates:
rootT root_diameter_min	& root_diameter_ max",2012-01-06 21:46:25,2021-04-27 19:37:31.785448,root_maintenance_respiration_rate,Infinity,0,,,,
349,temperature of stem during measurement,C,covariate,2012-01-12 21:07:13,2021-04-27 19:37:58.4094,stemT,50,-50,,,,
325,Nitrogen content with a branch per dry mass,g [N] g-1 [dry weight],"",2012-01-05 19:45:59,2021-04-27 19:36:44.953457,branchN,1,0,,,,
324,Carbon content per dry mass within a branch,g [C] g-1 [dry weight],"",2012-01-05 19:36:33,2021-04-27 19:36:45.7914,branchC,1,0,,,,
335,catagorical metric of the amount of radiation,"","",2012-01-06 21:01:56,2021-04-27 19:37:24.280291,radiation_class,9,1,,,"categorical [1,2,3,4,5,6,7,8,9]",
356,Temperature during measurement,C,Used when it is not specified if Temp was measured on tissue or air.,2012-02-16 17:32:15,2021-04-27 19:38:19.344929,T,50,-50,,,,
